XYDATA, head_x_accel, head_z_accel, head_y_rot_accel
0.0 0.0 0.0 0.0
0.0 -0.010082851942304457 -0.14038198569338153 -5.439597
1e-06 -0.023192731462833894 -0.3197085651063309 -12.460791
3e-06 -0.027583119617810365 -0.3647503479781577 -14.33196
1.6e-05 0.0033582314042002108 0.02485058608189341 1.083385
7.8e-05 0.021658364477166007 0.12714260221380388 6.132853
0.000328 0.01886311839415091 0.054275211208720614 3.747539
0.000728 0.004087940326207217 -0.003307857423279102 0.465566
0.001248 -0.0048517077697276855 -0.007304839063288688 -0.731404
0.001864 -0.0031011609469084756 0.00012430340636200945 -0.401734
0.002557 -0.00011675750638597279 0.0013728439375321848 0.014328
0.003311 0.0002019038101696298 0.001009621022469447 0.058404
0.004115 -0.0005565611090433532 0.0010618304925739167 -0.077576
0.004957 -0.0008642094904987943 0.0011785879989598897 -0.147733
0.005831 -0.0007234886531078402 0.0012740334364946236 -0.127602
0.006731 -0.0006348753142000581 0.0014112872387614527 -0.094052
0.00765 -0.0007259359720189871 0.0015459917504958372 -0.077702
0.008586 -0.0008473841729846584 0.0015679156490748627 -0.071391
0.009534 -0.0009891247265885906 0.0014093497779567947 -0.08477
0.010493 -0.0011201582599562542 0.0012028572448287641 -0.117242
0.01146 -0.001148812285540934 0.0011062901194597544 -0.149392
0.012434 -0.0007316463828116635 0.0004902795551997879 -0.145441
0.013413 0.00010513274155802441 -0.0007353173611783842 -0.085701
0.014396 0.0006524144330632785 -0.0007721291164668873 0.018419
0.015382 0.000687186755925826 -4.7926662009962624e-06 0.109286
0.016371 0.0009600628145187194 -0.00042593546216088064 0.180567
0.017363 0.0016268552461849869 -0.00204157383000311 0.246517
0.018356 0.002274578984668567 -0.0034526571255219674 0.312115
0.01935 0.0027501746264014726 -0.004101910438325015 0.380871
0.020346 0.003735526403002045 -0.005747936349313986 0.482948
0.021342 0.004618804586683526 -0.006974043123798647 0.610993
0.022339 0.005365746712689859 -0.008414698189493863 0.732113
0.023337 0.0062861425665237365 -0.010526632438192452 0.855501
0.024335 0.007026252593903118 -0.011601515298292486 0.986451
0.025334 0.007891277857372293 -0.0127559360230048 1.109473
0.026333 0.009273809098927768 -0.014986055380787528 1.244535
0.027332 0.01090698658563322 -0.0172834760086268 1.416583
0.028331 0.012395160426853208 -0.018919100814243396 1.614923
0.02933 0.01354774566238216 -0.02020435112908078 1.794624
0.03033 0.01486399535009407 -0.02267920237797821 1.95622
0.03133 0.015943466933152503 -0.02474983812005119 2.104376
0.032329 0.017047921563428898 -0.02689450525918637 2.244493
0.033329 0.01862144565167514 -0.029810995599924544 2.409658
0.034329 0.02039870903927437 -0.03241616658084055 2.614339
0.035329 0.021875360087287708 -0.03401681512035201 2.822746
0.036329 0.022851228503107585 -0.03493894449174795 2.995819
0.037328 0.024100074949141653 -0.03759479536844896 3.138321
0.038328 0.02604243039162201 -0.04178195408217893 3.301975
0.039328 0.02834749889105862 -0.04495133404373563 3.527411
0.040328 0.03079624540490382 -0.047865988895290444 3.7725
0.041328 0.03278622159453024 -0.05066154089316943 3.969046
0.042328 0.03403323255138095 -0.053284352964569966 4.081715
0.043328 0.0353244991918749 -0.0573711716029429 4.151246
0.044328 0.036939117843504156 -0.0614739997858596 4.253542
0.045328 0.03881243849836591 -0.06501119138543744 4.406077
0.046328 0.04099432527927478 -0.06829437167636247 4.610316
0.047328 0.04352617866447768 -0.07224536411516676 4.848511
0.048328 0.046364048885195255 -0.07705679309448181 5.106775
0.049328 0.04967160039361046 -0.08256713556617193 5.39974
0.050328 0.05404414351485982 -0.09022194123375465 5.746379
0.051328 0.059119067163608374 -0.09857810771262358 6.155265
0.052328 0.06479246225775367 -0.1080902244905243 6.612901
0.053328 0.07111715009712796 -0.11974435714540643 7.087781
0.054328 0.0781657344760953 -0.13408411639040854 7.600372
0.055328 0.08617325998174709 -0.15022112546078428 8.207321
0.056328 0.09550865993993872 -0.16876721408432035 8.937602
0.057328 0.10662448440598982 -0.19135749720852688 9.790811
0.058328 0.12041441266895425 -0.2197658731575003 10.817711
0.059328 0.13743949258921243 -0.2541259247551407 12.082142
0.060328 0.15800217199553365 -0.2948922414891936 13.620626
0.061328 0.18471414805259695 -0.3422745789846686 15.884325
0.062328 0.2127883629985775 -0.4021259043608164 18.023208
0.063328 0.25018115258523554 -0.4679421616963999 21.23467
0.064328 0.291628741721179 -0.5451283567783086 24.835335
0.065328 0.33804765133863246 -0.6327464526622242 28.892962
0.066328 0.3919418965701846 -0.7326184782774954 33.603532
0.067328 0.4547614118990685 -0.8454947408136316 39.097306
0.068328 0.5268654433471165 -0.9734340473046352 45.401699
0.069328 0.61435138400983 -1.1227074485170778 52.988634
0.070328 0.7239694493022591 -1.3049821294733677 62.293499
0.071328 0.8600806595524465 -1.5318533852028982 73.568871
0.072328 1.0301568833393666 -1.8193393258656116 87.306595
0.073328 1.2383890523267376 -2.1724811225036076 103.878166
0.074328 1.4904976724977441 -2.598711996451388 123.738715
0.075328 1.8121568527478802 -3.1417716549484282 148.107898
0.076328 2.2492407702936275 -3.8608459565702864 179.440673
0.077328 2.830197060158158 -4.783667919218082 219.873759
0.078328 3.5772880647315857 -5.919572942850006 271.533311
0.079328 4.493129254128576 -7.255692718716381 335.133851
0.080328 5.603162649834552 -8.824189606032641 412.013342
0.081328 6.959682358399658 -10.665345148445189 505.581531
0.082328 8.590481153095094 -12.72538838441262 621.096403
0.083328 10.487850387237232 -14.952274018140754 758.67639
0.084328 12.697151932617153 -17.3488489953246 922.173861
0.085328 15.00776513896183 -19.65042833179526 1095.231301
0.086328 17.127322378182154 -21.42551482922303 1263.632127
0.087328 18.711184349395563 -22.22239949422076 1402.113532
0.088328 19.627483289400562 -21.963509353346964 1499.888376
0.089328 19.896552237512303 -20.914774362294974 1547.50777
0.090328 19.711978708325475 -19.379746804464318 1560.399261
0.091328 19.275952950293934 -17.658611248489546 1551.676113
0.092328 18.693119566824553 -15.90207583629476 1527.904386
0.093328 18.017315495097716 -14.149676393059812 1495.771715
0.094328 17.316471272044993 -12.495951828606099 1457.661691
0.095328 16.532370585266122 -10.896191054029664 1409.878039
0.096328 15.713018818862711 -9.40771578469712 1354.253774
0.097328 14.860090652771335 -8.034472628267554 1291.778246
0.098328 13.98066862792085 -6.790502363192323 1221.301346
0.099328 13.129979758633171 -5.658143504662653 1149.599115
0.100328 12.346499059311794 -4.664472679253365 1078.583904
0.101328 11.694043837599997 -3.8470909026018063 1010.768911
0.102328 11.29306195285852 -3.250645225433762 950.293902
0.103328 11.144526928155894 -2.8398315428816163 899.93514
0.104328 11.326643145212689 -2.627743724921354 863.385299
0.105328 11.932627859666654 -2.6661692830885166 838.127318
0.106328 12.766508236757712 -2.829358139629741 818.276034
0.107328 13.728020068015072 -3.047144131788124 803.675889
0.108328 14.780359347993453 -3.2700389021735248 795.185546
0.109328 15.978767876899859 -3.510673777487725 793.556443
0.110328 17.367433527249368 -3.8096963794975864 792.171548
0.111328 19.019626375979566 -4.215003798442893 782.125582
0.112328 20.9039303941713 -4.6662700310503595 762.154267
0.113328 22.973462803301842 -5.144108028735603 727.447869
0.114328 25.14214589079859 -5.595558524062754 676.946285
0.115328 27.33544992428607 -5.95040385860615 616.147888
0.116328 29.631902127637883 -6.194108181693035 549.324911
0.117328 31.652596248464054 -6.327125470981426 460.441152
0.118328 33.206617244420876 -6.237294590915348 357.186084
0.119328 34.244286377101254 -5.924409660791403 244.838708
0.120328 34.70659011996962 -5.410265075229564 128.290458
0.121328 34.41135311242881 -4.697555128407764 14.353133
0.122055 33.53491895805397 -3.8932953658996707 -1176.977684
0.122411 30.520477940989025 -2.433205630872928 -7831.023735
0.122895 28.74534035577899 -1.592023881753708 -3221.832512
0.123482 27.50486934886022 -1.01362534606619 -1664.914631
0.124152 26.866095659577937 -0.4894816272631327 -1079.075955
0.124888 26.41045137738168 0.5467501134434287 -761.760535
0.125677 25.592110557631813 1.3902345857147957 -673.118221
0.126508 24.308317927120882 2.292829559533582 -723.556871
0.127294 22.425182809624083 3.4821574135917976 -1328.758671
0.128048 20.112371808925577 4.897673211545227 -1777.894883
0.128851 17.951620482019855 6.394453151687885 -1425.780004
0.129693 16.57649156439763 8.190541724238145 -1262.861844
0.130567 15.52383984337159 10.078137386365375 -1195.79975
0.131466 14.542801262408673 11.89431273676536 -1223.579539
0.132385 13.870901480118084 13.634880310809503 -1321.317813
0.133321 13.465590798080894 15.619398469405963 -1416.138595
