XYDATA, head_z_accel
0.0 0.0
1e-06 -0.13291001514278578
6e-06 -0.11280457648636386
3.1e-05 0.10730667455247206
0.000156 0.09753412225377678
0.000456 0.020763971386763065
0.000896 -0.008535534560731748
0.001448 -0.0027010243049359365
0.00209 0.0009631219631576533
0.002803 0.0009728092671809435
0.003574 0.0010108446819250202
0.00439 0.0011942916286397497
0.005243 0.0012495602473831533
0.006126 0.0013024835188367079
0.007032 0.0014424905548785774
0.007957 0.0015518041329098114
0.008897 0.0015374261343068225
0.009848 0.0013655019807987437
0.01081 0.001195515288095323
0.011779 0.0009231490876089186
0.012755 -7.036041869547705e-06
0.013735 -0.0006283491304369994
0.014719 -0.0003318156557030179
0.015706 -0.0001080899185756604
0.016696 -0.0010737611722657584
0.017688 -0.0021248846446034067
0.018682 -0.0036578240275731266
0.019677 -0.005132129728296615
0.020673 -0.0062407651950462184
0.021669 -0.007026966395252202
0.022667 -0.008197702579372163
0.023664 -0.010645735291868274
0.024663 -0.012295840067709157
0.025661 -0.013370315041324002
0.02666 -0.015136565493823069
0.027659 -0.017204244058878417
0.028659 -0.01889177241973559
0.029658 -0.02021301871689109
0.030658 -0.022680935895540273
0.031657 -0.025334237481708842
0.032657 -0.027788388491482824
0.033657 -0.03024478287692535
0.034657 -0.03226861364482265
0.035657 -0.03361341538649794
0.036656 -0.03500369647127204
0.037656 -0.03801032972523746
0.038656 -0.041552721877501496
0.039656 -0.04409701580050272
0.040656 -0.047500420632937856
0.041656 -0.050304844161869755
0.042656 -0.052695976709681694
0.043656 -0.0575562500955984
0.044656 -0.06193542137223211
0.045656 -0.06472516098769712
0.046656 -0.0671982787190325
0.047656 -0.071591420107784
0.048656 -0.07682684708845529
0.049656 -0.0830353892511714
0.050656 -0.0907926763981584
0.051656 -0.09873820315806112
0.052656 -0.10817475896458016
0.053656 -0.12058756048191789
0.054656 -0.1358652546996171
0.055656 -0.1519559686539236
0.056656 -0.17096154140302755
0.057656 -0.19541586576455772
0.058656 -0.22510011063920912
0.059656 -0.26089989955795306
0.060656 -0.30328776901388343
0.061656 -0.3520922027399775
0.062656 -0.41153655937552586
0.063656 -0.4811882753029832
0.064656 -0.5608556438743099
0.065656 -0.6506440017743063
0.066656 -0.7520900613359303
0.067656 -0.867428530639923
0.068656 -1.0012557805162825
0.069656 -1.1580324575670593
0.070656 -1.3543260950477483
0.071656 -1.6029244441271995
0.072656 -1.917007846716259
0.073656 -2.295328170170242
0.074656 -2.765433863755717
0.075656 -3.3591103995757985
0.076656 -4.119005572749104
0.077656 -5.053364706602153
0.078656 -6.175066714933234
0.079656 -7.503282976347683
0.080656 -9.101555984969384
0.081656 -11.001770431288973
0.082656 -13.166349466943352
0.083656 -15.571643221691405
0.084656 -18.25317983205274
0.085656 -20.665945047493285
0.086656 -22.249688323739505
0.087656 -22.644353270484824
0.088656 -21.84355218142791
0.089656 -20.32762859896091
0.090656 -18.424480327124964
0.091656 -16.42793420790994
0.092656 -14.469332442781175
0.093656 -12.587995288911097
0.094656 -10.862106325809528
0.095656 -9.251629863409015
0.096656 -7.795032452468479
0.097656 -6.498329398928278
0.098656 -5.300316825827372
