XYDATA, head_y_rot_accel
0.0 -0.0
1e-06 5.197987
6e-06 4.516663
3e-05 -4.545415
6.9e-05 -7.104151
0.000121 -6.223641
0.000182 -4.358092
0.000251 -1.591088
0.000326 1.065822
0.000406 2.224678
0.00049 1.76878
0.000577 0.822581
0.000667 0.513308
0.000759 1.068821
0.000852 1.80776
0.000947 1.967096
0.001043 1.308175
0.001139 0.206849
0.001237 -0.704399
0.001335 -0.981948
0.001433 -0.607822
0.001531 0.072077
0.00163 0.607545
0.00173 0.708882
0.001829 0.35059
0.001928 -0.2506
0.002028 -0.819278
0.002127 -1.142015
0.002227 -1.139004
0.002327 -0.85159
0.002427 -0.376594
0.002527 0.193312
0.002626 0.776859
0.002726 1.276198
0.002826 1.57334
0.002926 1.56916
0.003026 1.234734
0.003126 0.6351
0.003226 -0.082418
0.003326 -0.728075
0.003426 -1.1299
0.003526 -1.202115
0.003626 -0.981101
0.003726 -0.585535
0.003826 -0.145218
0.003926 0.233571
0.004026 0.474137
0.004126 0.537392
0.004226 0.436168
0.004326 0.235044
0.004426 0.025139
0.004526 -0.113184
0.004626 -0.137849
0.004726 -0.052073
0.004826 0.105433
0.004926 0.276788
0.005026 0.405042
0.005126 0.450697
0.005226 0.402092
0.005326 0.280087
0.005426 0.128111
0.005526 -0.010311
0.005626 -0.107022
0.005726 -0.145524
0.005826 -0.115446
0.005926 -0.019706
0.006026 0.117193
0.006126 0.253047
0.006226 0.34306
0.006326 0.356341
0.006426 0.285513
0.006526 0.146786
0.006626 -0.024006
0.006726 -0.18333
0.006826 -0.292002
0.006926 -0.324215
0.007026 -0.272379
0.007126 -0.147521
0.007226 0.024122
0.007326 0.207737
0.007426 0.367878
0.007526 0.475411
0.007626 0.513215
0.007726 0.479758
0.007826 0.389843
0.007926 0.272361
0.008026 0.162503
0.008126 0.088857
0.008226 0.063156
0.008326 0.078668
0.008426 0.116889
0.008526 0.157352
0.008626 0.185043
0.008726 0.192916
0.008826 0.180665
0.008926 0.151465
0.009026 0.110734
0.009126 0.067201
0.009226 0.03191
0.009326 0.014352
0.009426 0.017633
0.009526 0.035684
0.009626 0.055387
0.009726 0.062292
0.009826 0.04673
0.009926 0.0073
0.010026 -0.049328
0.010126 -0.111018
0.010226 -0.163366
0.010326 -0.192436
0.010426 -0.187164
0.010526 -0.141899
0.010626 -0.05896
0.010726 0.050483
0.010826 0.168422
0.010926 0.274237
0.011026 0.350009
0.011126 0.385044
0.011226 0.377938
0.011326 0.335755
0.011426 0.27122
0.011526 0.198806
0.011626 0.130885
0.011726 0.075441
0.011826 0.035323
0.011926 0.008805
0.012026 -0.008812
0.012126 -0.023114
0.012226 -0.038061
0.012326 -0.053571
0.012426 -0.062692
0.012526 -0.051134
0.012626 -0.004214
0.012726 0.082502
0.012826 0.197874
0.012926 0.317022
0.013026 0.406217
0.013126 0.430109
0.013226 0.363727
0.013326 0.206882
0.013426 -0.009951
0.013526 -0.234852
0.013626 -0.414555
0.013726 -0.515895
0.013826 -0.534133
0.013926 -0.48529
0.014026 -0.392069
0.014126 -0.274315
0.014226 -0.147533
0.014326 -0.025193
0.014426 0.079421
0.014526 0.156392
0.014626 0.200517
0.014726 0.214838
0.014826 0.205909
0.014926 0.178812
0.015026 0.134139
0.015126 0.067114
0.015226 -0.031142
0.015326 -0.168574
0.015426 -0.344713
0.015526 -0.545672
0.015626 -0.745103
0.015726 -0.910877
