XYDATA, head_x_accel
0.0 0.0
0.05 -0.09127071935880245
0.051 -0.11786858917163355
0.052 -0.08105061361423116
0.053 -0.09067204397016311
0.054 -0.06457281538547822
0.055 -0.07128530130064803
0.056 -0.05097969235161855
0.057 -0.053111918952955396
0.058 -0.037566447257728175
0.059 -0.013090708855725452
0.06 -0.002850820616622394
0.061 0.034708692570857534
0.062 0.05725359832358655
0.063 0.09887188795358252
0.064 0.13790580881340725
0.065 0.19814901113020247
0.066 0.2534074327114764
0.067 0.3261396093467188
0.068 0.3774819127836723
0.069 0.4684435561583211
0.07 0.5569436045948413
0.071 0.6820361693340744
0.072 0.7897268690123539
0.073 0.9782286509664362
0.074 1.196208287233663
0.075 1.486749501613701
0.076 1.7779886097699014
0.077 2.1475372323882262
0.078 2.653163822508196
0.079 3.111431222690725
0.08 3.9493507976730076
0.081 5.089040294086156
0.082 6.5423310712628675
0.083 8.993690200017335
0.084 13.649786420439192
0.085 18.392087817960263
0.086 33.74740844223053
0.087 32.50439518082118
0.088 38.97850601377637
0.089 39.46439762814009
0.09 21.461989976189628
0.091 31.21935880244528
0.092 4.17163822508196
0.093 37.52832129218439
0.094 26.046865035460634
0.095 20.480107580060473
0.096 3.429325610682547
0.097 5.346366802118971
0.098 9.719198605028222
0.099 -4.780716962469345
0.1 -7.425003033655734
ENDATA
