XYDATA,	head_z_accel / (G)
0.0	0.0
0.0005	0.0
0.001	-0.0047405
0.0014999999999999	-0.00542175
0.002	0.0001415
0.0025	-0.0049527499999999
0.0029999999999999	-0.00036
0.0035	-0.0024268749999999
0.004	-0.0021227499999999
0.005	0.002288125
0.0054999999999999	-0.0028282499999999
0.0059999999999999	-0.0060998749999999
0.007	-0.00161275
0.008	-0.0087385
0.0085	-0.0032957499999999
0.01	-0.0051633749999999
0.0109999999999999	0.0006599999999999
0.0114999999999999	-0.0092685
0.0119999999999999	-0.0093725
0.0124999999999999	-0.014762
0.014	-0.0196775
0.0155	-0.01485075
0.016	0.00025625
0.0165	-0.006533875
0.017	-0.007684125
0.0175	-0.0036842499999999
0.0185	-0.0029244999999999
0.0195	-0.007417375
0.02	-0.0066754999999999
0.0205	-0.0028706249999999
0.0214999999999999	-0.004855375
0.0219999999999999	-0.009509125
0.0224999999999999	-0.0006542499999999
0.0229999999999999	-0.001656875
0.0234999999999999	-0.003970125
0.0239999999999999	0.0017993749999999
0.0244999999999999	-0.00405675
0.0249999999999999	-0.01241575
0.0255	-0.017318125
0.0265	-0.0068675
0.0275	-0.00997925
0.028	-0.014323375
0.0295	-0.0171155
0.031	-0.033789625
0.0315	-0.0335195
0.032	-0.0352951249999999
0.0325	-0.0363035
0.033	-0.032555875
0.0335	-0.033486125
0.034	-0.0361089999999999
0.0345	-0.03622325
0.035	-0.034924375
0.0355	-0.036458875
0.037	-0.05483425
0.0375	-0.05160125
0.0385	-0.0548865
0.039	-0.045728375
0.0395	-0.059583375
0.04	-0.063458375
0.0405	-0.05863275
0.041	-0.065299625
0.0415	-0.067523875
0.0424999999999999	-0.0866098749999999
0.0429999999999999	-0.0873539999999999
0.0434999999999999	-0.104681
0.0439999999999999	-0.10642975
0.0444999999999999	-0.1195316249999999
0.0449999999999999	-0.120496125
0.0454999999999999	-0.12633875
0.0459999999999999	-0.14083425
0.0464999999999999	-0.157341375
0.0469999999999999	-0.186139375
0.0479999999999999	-0.219569625
0.0484999999999999	-0.259449625
0.0489999999999999	-0.293057125
0.0494999999999999	-0.312252125
0.0499999999999999	-0.359663375
0.0504999999999999	-0.3930358749999999
0.051	-0.4253521250000001
0.0515	-0.4771846249999999
0.0525	-0.5969971249999999
0.053	-0.646939625
0.0535	-0.7140546249999999
0.0545	-0.857118375
0.055	-0.919724625
0.056	-1.054149625
0.0565	-1.112150875
0.0575	-1.219103375
0.0585	-1.3205771250000002
0.059	-1.363627125
0.0595	-1.414539625
0.0615	-1.6124521250000003
0.062	-1.6581521250000002
0.0625	-1.6843583750000002
0.063	-1.729852125
0.0635	-1.7728508749999998
0.064	-1.833914625
0.0645	-1.925539625
0.065	-2.019039625
0.0655	-2.122002125
0.066	-2.226364625
0.0665	-2.351514625
0.067	-2.465864625
0.0675	-2.563939625
0.068	-2.6654021250000004
0.0685	-2.762914625
0.069	-2.877827125
0.0695	-2.979877125
0.07	-3.089839625
0.071	-3.3268771250000007
0.0715	-3.455627125
0.0735	-3.933127125
0.074	-4.040564625
0.0745	-4.176177125000001
0.075	-4.3202771250000005
0.0765	-4.805902124999999
0.077	-5.001802125
0.0775	-5.191589625000001
0.078	-5.404664625
0.0785	-5.617089625
0.079	-5.856864625
0.0795	-6.1225021250000005
