XYDATA, head_z_accel
0.0 -0.0
0.05 0.4437328751408483
0.051 0.43777936400299794
0.052 0.4111364227335533
0.053 0.3752272182651568
0.054 0.37135963861257415
0.055 0.36506085156500945
0.056 0.3595157367704568
0.057 0.3679767300760199
0.058 0.34671789041109863
0.059 0.31654734287447805
0.06 0.31379767810618303
0.061 0.3015334492410762
0.062 0.31640580626411674
0.063 0.3220513631056477
0.064 0.31892838023178155
0.065 0.330740466928054
0.066 0.3094764267104465
0.067 0.34466377407167587
0.068 0.3948963203540455
0.069 0.4715115763283078
0.07 0.5176256927697023
0.071 0.5817245440593882
0.072 0.6548193317799657
0.073 0.7425189029892981
0.074 0.8723792528539308
0.075 1.0277111959741605
0.076 1.18822268562659
0.077 1.43332442781174
0.078 1.7908262250615654
0.079 2.174752234453152
0.08 2.7814148562455068
0.081 3.374723274512703
0.082 4.2893092952231395
0.083 6.219954214742037
0.084 8.602414178134227
0.085 17.127230399779744
0.086 13.44049486827816
0.087 31.159550713036563
0.088 30.719816451081666
0.089 30.88180775290237
0.09 72.8248184650212
0.091 39.04753978167876
0.092 24.802059724778598
0.093 -30.002505544706906
0.094 -18.704721897895816
0.095 17.076284562006396
0.096 -10.329775611447335
0.097 14.182522370024422
0.098 10.4125983898681
0.099 1.0482526652832518
0.1 14.738978040411354
ENDATA
