XYDATA, head_x_accel
0.0 0.0
0.05 -0.09127071935880245
0.051 -0.11650675816920152
0.052 -0.07974221574135919
0.053 -0.09122911493731295
0.054 -0.06445126521289125
0.055 -0.07120413189009499
0.056 -0.05099366246373634
0.057 -0.05312354371778334
0.058 -0.037664340014174055
0.059 -0.013004644807350117
0.06 -0.0026891955968653923
0.061 0.034747339815329396
0.062 0.05736556316377152
0.063 0.0987255586770202
0.064 0.13795495913487277
0.065 0.1980549932953659
0.066 0.253468921599119
0.067 0.32619406219249186
0.068 0.3774249106473669
0.069 0.4685237058526613
0.07 0.5568765072680273
0.071 0.6819883446436857
0.072 0.7895325111021604
0.073 0.9782202892934897
0.074 1.1963261664278833
0.075 1.4868887948483938
0.076 1.7780984332060388
0.077 2.1474839012302875
0.078 2.6528860518117807
0.079 3.111293051143867
0.08 3.9493453931770786
0.081 5.089314189860962
0.082 6.542283246572479
0.083 8.993612905528392
0.084 13.64917336705195
0.085 18.393221538445854
0.086 33.742290180642726
0.087 32.50377152238532
0.088 38.992309402293344
0.089 39.424071930781665
0.09 21.45879938613084
0.091 31.021703435933784
0.092 4.122581615536396
0.093 38.61272228538798
0.094 26.283265539200443
0.095 19.72310891079013
0.096 4.350429351511474
0.097 4.92206094843805
0.098 7.448007015647545
0.099 0.6002155680074235
0.1 7.071922725905381
ENDATA
