XYDATA, head_z_accel
0.0 -0.0
0.05 0.4437328751408483
0.051 0.43832868512692924
0.052 0.4128178327971326
0.053 0.3752414942921385
0.054 0.3712707193588025
0.055 0.36503413500022946
0.056 0.36052403216184936
0.057 0.3669446752968649
0.058 0.34670157495169096
0.059 0.31623347422412346
0.06 0.3139071956274569
0.061 0.30193827657762845
0.062 0.31612232515690886
0.063 0.32228956881299936
0.064 0.3189456134357808
0.065 0.3309158581166861
0.066 0.30951558381302485
0.067 0.3447785941172572
0.068 0.3949504672849546
0.069 0.4714769059770666
0.07 0.5177674333233061
0.071 0.5817833816848771
0.072 0.6549244645215238
0.073 0.7426033354917327
0.074 0.8722922710609637
0.075 1.027722004966018
0.076 1.1882270704063058
0.077 1.4332348967282404
0.078 1.7909802022097252
0.079 2.1747615138706897
0.08 2.7815742378895956
0.081 3.3745900995752884
0.082 4.289753789520377
0.083 6.2195295029393325
0.084 8.601288411435098
0.085 17.130193797066276
0.086 13.43463099019543
0.087 31.14865127235091
0.088 30.685663809761746
0.089 31.03797494557265
0.09 72.9233735271474
0.091 38.84284908709906
0.092 25.12409528228294
0.093 -29.28946694334967
0.094 -21.286050486149705
0.095 17.93243411358619
0.096 -9.749482850922588
0.097 13.063639775050605
0.098 14.733940744290864
0.099 -22.15892664671422
0.1 -19.08216292005935
ENDATA
