XYDATA, head_z_accel
0.0 -0.0
1e-06 0.13291001514278578
6e-06 0.11280457648636386
3.1e-05 -0.10729810893628304
0.000156 -0.09745397255943672
0.000456 -0.02069065379104995
0.000896 0.008504637159478518
0.001448 0.002681139838782867
0.00209 -0.0009443591848388594
0.002803 -0.0009673027996308628
0.003574 -0.0010242029643150314
0.00439 -0.0012129524353372456
0.005243 -0.0012673033094889692
0.006126 -0.0012997302850616674
0.007032 -0.0014045571117557985
0.007957 -0.001503265641172062
0.008897 -0.001482055543942121
0.009848 -0.0013007500012746454
0.01081 -0.0011206681180627432
0.011779 -0.0008639035756349009
0.012755 -6.730127005654328e-06
0.013735 0.0005968398994559814
0.014719 0.00032906242192797745
0.015706 0.00013786563199461588
0.016696 0.0011721637868181286
0.017688 0.0022818189697807103
0.018682 0.0038552410864056536
0.019677 0.005345454360051598
0.020673 0.006474790065924653
0.021669 0.007289645291715316
0.022667 0.0085054529324489
0.023664 0.01103312548117859
0.024663 0.012715861175834767
0.025661 0.013814707366939783
0.02666 0.015609101986917041
0.027659 0.01769778670595973
0.028659 0.0193994891221773
0.029658 0.020730218780113496
0.030658 0.02326044061937563
0.031657 0.02596115900944767
0.032657 0.028480265941988346
0.033657 0.03101344495826812
0.034657 0.03312007668265922
0.035657 0.034547475437585726
0.036656 0.036023820570735166
0.037656 0.039080114004272616
0.038656 0.04279779537354755
0.039656 0.04549922756496867
0.040656 0.049008886826796105
0.041656 0.051840740721857105
0.042656 0.05429774693702743
0.043656 0.059236232556479536
0.044656 0.06377927222853881
0.045656 0.06672054167325234
0.046656 0.06928686146645388
0.047656 0.07377177731437341
0.048656 0.07919340447553447
0.049656 0.0856550402023117
0.050656 0.0937353734455701
0.051656 0.10201332769090364
0.052656 0.11169838833852541
0.053656 0.12442699596702239
0.054656 0.14011482004558135
0.055656 0.15649125848276427
0.056656 0.17578704246608168
0.057656 0.2006873906991684
0.058656 0.23100253399478926
0.059656 0.2675527320746636
0.060656 0.3109141245991241
0.061656 0.36105938317366276
0.062656 0.4220948030163206
0.063656 0.49347616158423113
0.064656 0.5749707596375929
0.065656 0.6667039202989808
0.066656 0.7701749323163364
0.067656 0.8875447782882026
0.068656 1.0217930689889005
0.069656 1.1790768509123912
0.070656 1.373614741017575
0.071656 1.6176931979830014
0.072656 1.9268143555648463
0.073656 2.299180556051251
0.074656 2.7551155593398358
0.075656 3.3469267282915167
0.076656 4.13045494638842
0.077656 5.119383887464119
0.078656 6.3139864275772055
0.079656 7.711446008575813
0.080656 9.341713225209425
0.081656 11.23319461793783
0.082656 13.324128321088242
0.083656 15.565760784773598
0.084656 17.97588034649957
0.085656 20.11323377504041
0.086656 21.590753519295582
0.087656 22.102233484421287
0.088656 21.570178705266326
0.089656 20.392138293912804
0.090656 18.807118944797665
0.091656 17.108030265177202
0.092656 15.374462431105425
0.093656 13.663973120280627
0.094656 12.040705235732895
0.095656 10.461733007703957
0.096656 8.998343369040397
0.097656 7.653776569980574
0.098656 6.350846109527718
0.099656 5.215721168798724
0.100656 4.195967430264158
0.101656 3.326151030168304
0.102656 2.6252303283996063
0.103656 2.107738932255154
