XYDATA, head_z_accel
0.0 -0.0
0.0 0.14038198569338153
1e-06 0.3197085651063309
3e-06 0.3647503479781577
1.6e-05 -0.02485058608189341
7.8e-05 -0.12714260221380388
0.000391 -0.05124186138997518
0.001441 -0.012348559395920116
0.003081 -0.0025294060662917513
0.005193 -0.0010603009182544498
0.007682 -0.001192150224592496
0.010474 -0.0011853181259655439
0.013507 -0.0003742358501628997
0.016734 0.001032666608882748
0.020115 0.004339912202434063
0.02362 0.008164357859207782
0.027224 0.012915317667093248
0.030908 0.01816083983827301
0.034654 0.025767922787088355
0.038451 0.033629628874284286
0.042289 0.043320807819183925
0.04616 0.05630648590497264
0.050056 0.07328221156052271
0.053973 0.10292536187179108
0.057906 0.16363783758979877
0.061853 0.2857008254602744
0.065811 0.5093787378972432
0.069777 0.8866040900817302
0.073749 1.6470947775234153
0.077728 3.382005577847685
0.08171 6.869209566977511
0.085696 12.020517404006466
0.089323 16.02419725390424
0.091678 16.657972600225357
0.093874 15.49380756935345
0.095966 14.049321327874454
0.09799 12.759894867258442
0.100409 11.60297084121489
0.102895 10.824657451831156
0.104924 10.541296365221559
0.107347 10.895836600674034
0.110085 11.591020888886623
0.112804 12.011095939999898
0.114427 11.978587795016647
0.116143 11.105486990970414
0.117526 9.619005266834241
0.11874 4.810891486899196
0.1189 3.269079757103598
0.119266 2.1989918065802287
0.120359 -0.009169492130340127
0.121424 -0.9660758770834077
0.122326 -2.177440410333804
0.123293 -3.636396934733064
0.124009 -5.477729703823426
0.124383 -7.148043113601484
0.125283 -8.848812795399041
0.126388 -11.642172709334993
0.127154 -14.30057032727792
0.127924 -16.57325039641468
0.128182 -18.392109232000735
0.129188 -20.88720358124334
0.129917 -23.842313634115627
0.130923 -27.49218030622078
0.131653 -31.117744489708514
0.132911 -35.81378992826296
0.134553 -41.11773745366665
0.134745 -42.6345595080889
0.135699 -44.62495694248291
0.137262 -45.71347514186802
0.139312 -44.366317141939405
0.141752 -39.69661250274049
0.144504 -34.93049757052613
0.145323 -35.28077906318671
0.145984 -35.959862644226114
0.147072 -36.77103526688523
0.148135 -36.307892195601966
0.149335 -34.2417327017891
ENDATA
