XYDATA, head_x_accel
0.0 0.0
1e-05 0.0013729459091534827
6e-05 0.014265421933076025
0.0003 0.016510735062432128
0.000692 0.005663401875258116
0.001206 -0.003725635155736159
0.001816 -0.003664962041063972
0.002505 -0.0013906889712592986
0.003256 -0.001512647030331459
0.004057 -0.0032160829641110877
0.004898 -0.005075637450097638
0.00577 -0.006870439956560091
0.006668 -0.00901092625922206
0.007586 -0.011642711833296794
0.008521 -0.014652710150765042
0.009469 -0.01798697822396027
0.010427 -0.02161849357323857
0.011394 -0.025426521798983342
0.012367 -0.02847965411226056
0.013346 -0.03179883038550372
0.014328 -0.03540933958079467
0.015315 -0.039749863612956515
0.016304 -0.04381720567166158
0.017295 -0.04937557677698297
0.018288 -0.054959032901143616
0.019282 -0.06123497830553757
0.020278 -0.06680711557973416
0.021274 -0.0734625993585985
0.022271 -0.07919666756741599
0.023269 -0.08445524210612187
0.024267 -0.08866921935625316
0.025266 -0.09271117048125507
0.026265 -0.09730519596396324
0.027264 -0.10183599904146676
0.028263 -0.10552645398785519
0.029262 -0.10819117639560911
0.030262 -0.10965334747339815
0.031262 -0.11155858524572614
0.032261 -0.11205212789280744
0.033261 -0.11322510745259595
0.034261 -0.11417140409823948
0.035261 -0.11405393279050441
0.036261 -0.11391005083285322
0.03726 -0.11524149429213851
0.03826 -0.11592806921833654
0.03926 -0.11372782754559406
0.04026 -0.12041849153380614
0.04126 -0.12815293703762243
0.04226 -0.13326110343491407
0.04326 -0.13595529564122305
0.04426 -0.13900332937343537
0.04526 -0.14097464475636431
0.04626 -0.14321302381547216
0.04726 -0.1447955214063926
0.04826 -0.14576710701411796
0.04926 -0.14592975175008796
0.05026 -0.143285219723351
0.05126 -0.13998521411491183
0.05226 -0.13459479026986793
0.05326 -0.1307377136942789
0.05426 -0.12808390225000382
0.05526 -0.12887408034344042
0.05626 -0.13112683740115125
0.05726 -0.13240484773087652
0.05826 -0.12989298078344796
0.05926 -0.12410140058021854
0.06026 -0.11218652648967793
0.06126 -0.09554231057496698
0.06226 -0.08049119729979147
0.06326 -0.06183202214823615
0.06426 -0.04298970596482999
0.06526 -0.021583211392269534
0.06626 -0.0002019038101696298
0.06726 0.008068606506809156
0.06826 0.030042777095134428
0.06926 0.06181213768208308
0.07026 0.11475060290721092
0.07126 0.17761906461431784
0.07226 0.265269587473806
0.07326 0.38660980049252297
0.07426 0.5427213166575742
0.07526 0.7311059332187853
0.07626 0.9520571245022511
0.07726 1.2198242009248828
0.07826 1.5569552293596693
0.07926 1.9974258283919588
0.08026 2.5927879551120925
