XYDATA, head_x_accel
0.0 0.0
0.0 -0.010082851942304457
1e-06 -0.023192731462833894
3e-06 -0.027583119617810365
1.6e-05 0.0033582314042002108
7.8e-05 0.021658364477166007
0.000391 0.016732115452269634
0.001441 0.004012175411582957
0.003081 -0.00022953811954133166
0.005193 -0.0006295727898925729
0.007682 -0.0006400758668862456
0.010474 -0.0007202255612263108
0.013507 -0.00026339269781219885
0.016734 0.0007707015137687182
0.020115 0.0029418812744413233
0.02362 0.0053922593342272855
0.027224 0.008365445896407031
0.030908 0.011822895688129994
0.034654 0.01671427041854252
0.038451 0.02195765118567503
0.042289 0.027749027445661874
0.04616 0.03480740110027379
0.050056 0.04408732849647943
0.053973 0.06002447318911148
0.057906 0.09027680196601287
0.061853 0.15502735388741315
0.065811 0.2761388445595591
0.069777 0.49170511846553105
0.073749 0.9512927452290029
0.077728 2.050806442567034
0.08171 4.566530364599532
0.085696 9.282356768111436
0.089323 14.156966650181255
0.091678 15.614070656136398
0.093874 15.286685463435525
0.095966 14.429176120285724
0.09799 13.578495000841267
0.100409 12.825063604798785
0.102895 12.569081796536025
0.104924 13.307730162695723
0.107347 15.571234519433244
0.110085 19.749808038422906
0.112804 25.72793961240587
0.114427 30.91488948825542
0.116143 34.823323866967826
0.117526 36.672129626324995
0.11874 36.483310100798946
0.1189 34.995567905451914
0.119266 32.999240515364576
0.120359 31.877783850754334
0.121424 31.969377718181033
0.122326 31.602123660985146
0.123293 30.162771588666878
0.124009 28.003084437601018
0.124383 25.706397597548605
0.125283 23.096547954704207
0.126388 20.56117624265167
0.127154 18.406918060703706
0.127924 16.336584664487873
0.128182 14.967037571443868
0.129188 14.010029928670852
0.129917 13.013190946959462
0.130923 12.558001254250943
0.131653 12.795459815533338
0.132911 14.553164434337926
0.134553 17.887849673435884
0.134745 19.326477135413217
0.135699 20.838838033375314
0.137262 20.132454201995586
0.139312 15.627693248968813
0.141752 9.014708386655993
0.144504 5.949715958048875
0.145323 3.67341161354795
0.145984 5.325056364813673
0.147072 10.904999260705747
0.148135 17.6573159029842
0.149335 23.547998450031358
ENDATA
