XYDATA,	head_x_accel / (G)
0.0	-0.0
0.0005	-0.0
0.001	0.001853875
0.0014999999999999	0.00198375
0.002	0.0040991249999999
0.0025	-0.0010057499999999
0.0029999999999999	0.00477425
0.0035	0.0001321249999999
0.004	0.0027002499999999
0.005	0.001982625
0.0054999999999999	0.005755875
0.0059999999999999	0.0051513749999999
0.007	0.005958125
0.008	0.00503975
0.0085	0.00825525
0.01	0.005856375
0.0109999999999999	0.00776875
0.0114999999999999	0.004525625
0.0119999999999999	0.0125531249999999
0.0124999999999999	0.01119925
0.014	0.0135527499999999
0.0155	0.014490375
0.016	0.014252875
0.0165	0.0171522499999999
0.017	0.0172495
0.0175	0.0197637499999999
0.0185	0.021764375
0.0195	0.024879
0.02	0.024507
0.0205	0.026067375
0.0214999999999999	0.029764625
0.0219999999999999	0.032379375
0.0224999999999999	0.029484125
0.0229999999999999	0.02848875
0.0234999999999999	0.0315649999999999
0.0239999999999999	0.03489475
0.0244999999999999	0.0316537499999999
0.0249999999999999	0.037661875
0.0255	0.0413035
0.0265	0.039784375
0.0275	0.044814375
0.028	0.0391241249999999
0.0295	0.045579375
0.031	0.054433875
0.0315	0.054417125
0.032	0.055635875
0.0325	0.05684
0.033	0.0600055
0.0335	0.05988475
0.034	0.063863375
0.0345	0.0624799999999999
0.035	0.0676134999999999
0.0355	0.068511625
0.037	0.074219125
0.0375	0.07846325
0.0385	0.0855375
0.039	0.084190375
0.0395	0.08767
0.04	0.09008075
0.0405	0.0917478749999999
0.041	0.092906875
0.0415	0.0937612499999999
0.0424999999999999	0.10220175
0.0429999999999999	0.107979125
0.0434999999999999	0.10558325
0.0439999999999999	0.115685875
0.0444999999999999	0.11544925
0.0449999999999999	0.1180285
0.0454999999999999	0.118247875
0.0459999999999999	0.12350825
0.0464999999999999	0.1294162499999999
0.0469999999999999	0.13386175
0.0479999999999999	0.142861625
0.0484999999999999	0.147991
0.0489999999999999	0.1535234999999999
0.0494999999999999	0.160547375
0.0499999999999999	0.1662495
0.0504999999999999	0.17257825
0.051	0.183728
0.0515	0.19082275
0.0525	0.2189923749999999
0.053	0.2330516249999999
0.0535	0.24680875
0.0545	0.284878875
0.055	0.301693875
0.056	0.351841375
0.0565	0.376503875
0.0575	0.441153875
0.0585	0.509961375
0.059	0.544655125
0.0595	0.5855851250000002
0.0615	0.769453875
0.062	0.826070125
0.0625	0.867517625
0.063	0.910271375
0.0635	0.949357625
0.064	0.991872625
0.0645	1.041780125
0.065	1.087272625
0.0655	1.138460125
0.066	1.1906251250000002
0.0665	1.2473126250000002
0.067	1.303026375
0.0675	1.362243875
0.068	1.413453875
0.0685	1.478351375
0.069	1.539533875
0.0695	1.612310125
0.07	1.687920125
0.071	1.857197625
0.0715	1.953322625
0.0735	2.357547625
0.074	2.4705851249999995
0.0745	2.585247625
0.075	2.7124101250000003
0.0765	3.128535125
0.077	3.272397625
0.0775	3.435810125
0.078	3.5930851250000004
0.0785	3.767647625
0.079	3.954747625
0.0795	4.159610125
0.08	4.386847625
0.0805	4.627635124999999
0.081	4.893410125000001
0.0815	5.179047625000001
0.082	5.497885125000001
0.0825	5.850022624999999
0.083	6.246872625000001
0.0835	6.673035125000001
0.0845	7.666272624999999
0.0849999999999999	8.222910124999999
0.0855	8.812147625
0.0859999999999999	9.470622625
