XYDATA,	head_z_accel / (G)
0.136038	22.457016922190554
0.136956	25.014418583308267
0.137805	28.045827780128793
0.138684	30.140526071594277
0.139506	32.95370039717947
0.140363	35.37189947637573
0.141248	37.19386497937624
0.142157	37.374521472674154
0.143084	36.98816364405786
0.144025	36.17333941764007
0.144979	34.72544406091785
0.145941	32.946168875202034
0.146911	31.044075805703272
0.147887	29.343490488597027
0.148868	27.897795271575923
0.149853	26.661549560757244
0.15084	25.68560752142679
0.151831	24.62377458153396
0.152823	23.030565279682666
0.152913	24.384142597115225
0.153185	24.698538848638425
0.153603	24.687376117226577
0.154137	24.59372884726181
0.154765	24.599202683893076
0.155467	24.181282599052683
0.156228	23.382383790591078
0.157037	22.27793568649845
0.157885	20.960462951160693
0.158763	19.349006133593022
0.159665	17.062723763976486
0.160587	14.009844646234955
0.161524	11.419922195652951
0.162474	9.135087415172357
0.163434	7.330070411404507
0.164402	5.422598848740396
0.165111	3.8792264432808357
0.165878	2.527266905620166
0.166691	1.3020978621649597
0.167542	-2.3185745387058785
0.168423	-1.9743841169002667
0.169328	-2.022343511800666
0.170251	-2.3222840623454495
0.17119	-2.743427979993168
0.172141	-3.237889493354
0.173102	-3.72701258839665
0.174071	-4.178704654494655
0.175046	-4.635482657176508
0.176026	-5.039660944359185
0.17701	-5.405281314210256
0.177997	-5.780958635211821
0.178987	-6.112837513320043
0.179978	-6.425518500201394
0.180972	-6.766274517801696
0.181967	-7.0813882416523475
0.182962	-7.390671738055301
0.183959	-7.710147501950209
0.184956	-8.004046335904718
0.185954	-8.328423875635412
0.186953	-8.592133297303361
0.187951	-8.838962846639781
0.18895	-9.049655998735552
0.189949	-9.249757256555501
0.190948	-9.399691637817195
0.191948	-9.475634187005756
0.192947	-9.552720347927172
0.193947	-9.59242789331729
0.194947	-9.5501484196948
0.195947	-9.513318003599599
0.196946	-9.414136529803756
0.197946	-9.267017585006094
0.198946	-9.089461538853739
0.199946	-8.85199023111868
0.200946	-8.579429876665325
0.201946	-8.261401803877982
0.202946	-7.943228319558668
0.203946	-7.612030509909092
0.204946	-7.257501287391719
0.205946	-6.879662066047019
0.206946	-6.520995650910352
0.207946	-6.123970672961715
0.208946	-5.755429631933434
0.209946	-5.412801007479619
0.210946	-5.104311768034956
0.211946	-4.840661489907359
0.212946	-4.640827499706831
0.213946	-4.464961633177487
0.214946	-4.30557234121744
0.215946	-4.1787887810822255
0.216946	-4.102402859284261
0.217946	-4.061970601581581
0.218946	-4.056038402512581
0.219946	-4.073294346183458
0.220946	-4.1127650114973004
0.221946	-4.171314669127582
0.222946	-4.268488729586556
0.223946	-4.390871602433044
0.224946	-4.539245817888882
0.225946	-4.708602325972682
0.226946	-4.881424237634667
0.227946	-5.040635283200685
0.228946	-5.199916893128643
0.229946	-5.346873295161957
0.230946	-5.479989598894628
0.231946	-5.601203163159694
